,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
400,Eemshaven,Hard Coal,Steam Turbine,PP,NL,1740,,,0.0,0.0,0.0,2015.0,2015.0,,2029.0,53.4405,6.8612,,
401,Bedzin,Hard Coal,Steam Turbine,PP,PL,82,,,0.0,0.0,0.0,1975.0,1975.0,,2040.0,50.302,19.1371,,
402,Lagisza,Hard Coal,Steam Turbine,PP,PL,460,,,0.0,0.0,0.0,1963.0,1963.0,,2040.0,50.3489,19.1445,,
403,Belchatow,Lignite,Steam Turbine,PP,PL,5030,,,0.0,0.0,0.0,1981.0,1981.0,,2036.0,51.2658,19.3153,,
404,Bialystok,Hard Coal,Steam Turbine,PP,PL,110,,,0.0,0.0,0.0,1978.0,1978.0,,2040.0,53.1484,23.1701,,
405,Bielsko-Biala,Hard Coal,Steam Turbine,PP,PL,50,,,0.0,0.0,0.0,1960.0,1960.0,,2040.0,49.8117,19.0529,,
406,Turow,Lignite,Steam Turbine,PP,PL,1948,,,0.0,0.0,0.0,1963.0,1963.0,,2040.0,50.9486,14.9131,,
407,Opole,Hard Coal,Steam Turbine,PP,PL,3332,,,0.0,0.0,0.0,1993.0,1993.0,,2040.0,50.7518,17.882,,
408,Bydgoszcz II,Hard Coal,Steam Turbine,PP,PL,192,,,0.0,0.0,0.0,1971.0,1971.0,,2040.0,53.0992,18.0875,,
409,Chorzow 2,Hard Coal,Steam Turbine,PP,PL,226,,,0.0,0.0,0.0,2003.0,2003.0,,2040.0,50.3078,18.9686,,
410,Czestochowa,Hard Coal,Steam Turbine,PP,PL,64,,,0.0,0.0,0.0,2010.0,2010.0,,2040.0,50.7943,19.1425,,
411,Elblag,Hard Coal,Steam Turbine,PP,PL,62,,,0.0,0.0,0.0,1955.0,1955.0,,2025.0,54.1817,19.3893,,
412,Gdansk 2,Hard Coal,Steam Turbine,PP,PL,218,,,0.0,0.0,0.0,1971.0,1971.0,,2040.0,54.3781,18.6417,,
413,Gdynia,Hard Coal,Steam Turbine,PP,PL,106,,,0.0,0.0,0.0,1980.0,1980.0,,2040.0,54.5533,18.4808,,
414,Jaworzno 2,Hard Coal,Steam Turbine,PP,PL,200,,,0.0,0.0,0.0,1998.0,1998.0,,2040.0,50.2122,19.2289,,
415,Jaworzno 3,Hard Coal,Steam Turbine,PP,PL,2255,,,0.0,0.0,0.0,1977.0,1977.0,,2040.0,50.2078,19.2097,,
416,Katowice,Hard Coal,Steam Turbine,PP,PL,135,,,0.0,0.0,0.0,1999.0,1999.0,,2040.0,50.2853,19.0539,,
417,Patnow I,Lignite,Steam Turbine,PP,PL,600,,,0.0,0.0,0.0,1967.0,1967.0,,2024.0,52.3055,18.2317,,
418,Kozienice,Hard Coal,Steam Turbine,PP,PL,3994,,,0.0,0.0,0.0,1972.0,1972.0,,2048.0,51.6647,21.4667,,
419,Krakow,Hard Coal,Steam Turbine,PP,PL,350,,,0.0,0.0,0.0,1970.0,1970.0,,2040.0,50.0542,20.0069,,
420,Laziska,Hard Coal,Steam Turbine,PP,PL,905,,,0.0,0.0,0.0,1960.0,1960.0,,2040.0,50.1337,18.8465,,
421,Lodz 3,Hard Coal,Steam Turbine,PP,PL,197,,,0.0,0.0,0.0,1968.0,1968.0,,2025.0,51.7424,19.4476,,
422,Lodz 4,Hard Coal,Steam Turbine,PP,PL,215,,,0.0,0.0,0.0,1977.0,1977.0,,2025.0,51.7463,19.5382,,
423,Mielec,Hard Coal,Steam Turbine,PP,PL,30,,,0.0,0.0,0.0,1962.0,1962.0,,2040.0,50.3044,21.4611,,
424,Dolna Odra,Hard Coal,Steam Turbine,PP,PL,908,,,0.0,0.0,0.0,1974.0,1974.0,,2040.0,53.2058,14.4663,,
425,Ostroleka,Hard Coal,Steam Turbine,PP,PL,681,,,0.0,0.0,0.0,1957.0,1957.0,,2040.0,53.1044,21.612,,
426,Polaniec,Hard Coal,Steam Turbine,PP,PL,1674,,,0.0,0.0,0.0,1979.0,1979.0,,2040.0,50.4381,21.3368,,
427,Poznan-Karolin,Hard Coal,Steam Turbine,PP,PL,285,,,0.0,0.0,0.0,1985.0,1985.0,,2025.0,52.4361,16.9889,,
428,Rybnik,Hard Coal,Steam Turbine,PP,PL,875,,,0.0,0.0,0.0,1972.0,1972.0,,2040.0,50.1333,18.5236,,
429,Czechnica,Hard Coal,Steam Turbine,PP,PL,132,,,0.0,0.0,0.0,1955.0,1955.0,,2024.0,51.0381,17.1503,,
430,Skawina,Hard Coal,Steam Turbine,PP,PL,330,,,0.0,0.0,0.0,1961.0,1961.0,,2040.0,49.9757,19.8011,,
431,Pomorzany,Hard Coal,Steam Turbine,PP,PL,134,,,0.0,0.0,0.0,1959.0,1959.0,,2040.0,53.3922,14.5257,,
432,Szczecin,Hard Coal,Steam Turbine,PP,PL,68,,,0.0,0.0,0.0,1957.0,1957.0,,2040.0,53.4113,14.586,,
433,Siersza,Hard Coal,Steam Turbine,PP,PL,306,,,0.0,0.0,0.0,1969.0,1969.0,,2040.0,50.2064,19.463,,
434,Tychy,Hard Coal,Steam Turbine,PP,PL,65,,,0.0,0.0,0.0,2003.0,2003.0,,2040.0,50.1063,19.0143,,
435,Siekierki,Hard Coal,Steam Turbine,PP,PL,591,,,0.0,0.0,0.0,1961.0,1961.0,,2040.0,52.1896,21.0906,,
436,Zeran,Hard Coal,Steam Turbine,PP,PL,386,,,0.0,0.0,0.0,1954.0,1954.0,,2030.0,52.2944,20.9943,,
437,Wroclaw,Hard Coal,Steam Turbine,PP,PL,263,,,0.0,0.0,0.0,1970.0,1970.0,,2040.0,51.1239,17.0244,,
438,Zofiowka Moszczenica,Hard Coal,Steam Turbine,PP,PL,41,,,0.0,0.0,0.0,1966.0,1966.0,,2040.0,49.9421,18.5698,,
439,Patnow II,Lignite,Steam Turbine,PP,PL,474,,,0.0,0.0,0.0,2008.0,2008.0,,2028.0,52.3055,18.2317,,
440,Zabrze II,Hard Coal,Steam Turbine,PP,PL,75,,,0.0,0.0,0.0,2018.0,2018.0,,2040.0,50.3249,18.7857,,
441,Craiova II,Lignite,Steam Turbine,PP,RO,300,,,0.0,0.0,0.0,1987.0,1987.0,,2040.0,44.3474,23.8151,,
442,Iasi II,Hard Coal,Steam Turbine,PP,RO,60,,,0.0,0.0,0.0,1986.0,1986.0,,2040.0,47.1493,27.6048,,
443,Isalnita,Lignite,Steam Turbine,PP,RO,315,,,0.0,0.0,0.0,1987.0,1987.0,,2025.0,44.3857,23.7172,,
444,Govora,Lignite,Steam Turbine,PP,RO,100,,,0.0,0.0,0.0,1986.0,1986.0,,2040.0,45.0408,24.2901,,
445,Rovinari,Lignite,Steam Turbine,PP,RO,990,,,0.0,0.0,0.0,1976.0,1976.0,,2030.0,44.9134,23.1337,,
446,Turceni,Lignite,Steam Turbine,PP,RO,990,,,0.0,0.0,0.0,1976.0,1976.0,,2029.0,44.6648,23.4096,,
447,Paroseni,Hard Coal,Steam Turbine,PP,RO,150,,,0.0,0.0,0.0,1964.0,1964.0,,2032.0,45.3609,23.2636,,
448,Kolubara A,Lignite,Steam Turbine,PP,RS,239,,,0.0,0.0,0.0,1956.0,1956.0,,2040.0,44.4803,20.2935,,
449,Kostolac A,Lignite,Steam Turbine,PP,RS,310,,,0.0,0.0,0.0,1967.0,1967.0,,2040.0,44.7237,21.1716,,
450,Kostolac B,Lignite,Steam Turbine,PP,RS,696,,,0.0,0.0,0.0,1987.0,1987.0,,2040.0,44.7307,21.211,,
451,Morava,Lignite,Steam Turbine,PP,RS,120,,,0.0,0.0,0.0,1969.0,1969.0,,2040.0,44.2238,21.1631,,
452,Nikola Tesla A,Lignite,Steam Turbine,PP,RS,1745,,,0.0,0.0,0.0,1970.0,1970.0,,2040.0,44.6713,20.1584,,
453,Nikola Tesla B,Lignite,Steam Turbine,PP,RS,1290,,,0.0,0.0,0.0,1983.0,1983.0,,2040.0,44.6713,20.1584,,
454,Te-Tol,Hard Coal,Steam Turbine,PP,SI,124,,,0.0,0.0,0.0,1966.0,1966.0,,2040.0,46.058,14.5451,,
